"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05763 0.0991 0.0991
0.05773 0.0985 0.0985
0.05783 0.0955 0.0955
0.05793 0.0985 0.0985
0.05803 0.0997 0.0997
0.05813 0.0996 0.0996
0.05823 0.1002 0.1002
0.05833 0.0991 0.0991
0.05843 0.0997 0.0997
0.05853 0.0997 0.0997
0.05863 0.1002 0.1002
0.05873 0.0996 0.0996
0.05883 0.0991 0.0991
0.05893 0.1002 0.1002
0.05903 0.0997 0.0997
0.05913 0.0991 0.0991
0.05923 0.1008 0.1008
0.05933 0.0997 0.0997
0.05943 0.1014 0.1014
0.05953 0.1008 0.1008
0.05963 0.1008 0.1008
0.05973 0.1026 0.1026
0.05983 0.0997 0.0997
0.05993 0.1026 0.1026
0.06003 0.1014 0.1014
0.06013 0.0979 0.0979
0.06023 0.1008 0.1008
0.06033 0.1026 0.1026
0.06043 0.1014 0.1014
0.06053 0.1014 0.1014
0.06063 0.1038 0.1038
0.06073 0.1026 0.1026
0.06083 0.1026 0.1026
0.06093 0.1002 0.1002
0.06103 0.1008 0.1008
0.06113 0.1008 0.1008
0.06123 0.0997 0.0997
0.06133 0.1008 0.1008
0.06143 0.0991 0.0991
0.06153 0.1026 0.1026
0.06163 0.1008 0.1008
0.06173 0.1032 0.1032
0.06183 0.1014 0.1014
0.06193 0.1008 0.1008
0.06203 0.1002 0.1002
0.06213 0.1020 0.1020
0.06223 0.0997 0.0997
0.06233 0.1026 0.1026
0.06243 0.1002 0.1002
0.06253 0.0991 0.0991
0.06263 0.1044 0.1044
0.06273 0.1020 0.1020
0.06283 0.1050 0.1050
0.06293 0.1014 0.1014
0.06303 0.1026 0.1026
0.06313 0.1038 0.1038
0.06323 0.1062 0.1062
0.06333 0.1056 0.1056
0.06343 0.1056 0.1056
0.06353 0.1044 0.1044
0.06363 0.1038 0.1038
0.06373 0.1056 0.1056
0.06383 0.1050 0.1050
0.06393 0.1074 0.1074
0.06403 0.1074 0.1074
0.06413 0.1050 0.1050
0.06423 0.1080 0.1080
0.06433 0.1074 0.1074
0.06443 0.1086 0.1086
0.06453 0.1080 0.1080
0.06463 0.1086 0.1086
0.06473 0.1080 0.1080
0.06483 0.1092 0.1092
0.06493 0.1086 0.1086
0.06503 0.1080 0.1080
0.06513 0.1074 0.1074
0.06523 0.1050 0.1050
0.06533 0.1074 0.1074
0.06543 0.1068 0.1068
0.06553 0.1062 0.1062
0.06563 0.1086 0.1086
0.06573 0.1074 0.1074
0.06583 0.1080 0.1080
0.06593 0.1074 0.1074
0.06603 0.1074 0.1074
0.06613 0.1074 0.1074
0.06622 0.1074 0.1074
0.06632 0.1086 0.1086
0.06642 0.1098 0.1098
0.06652 0.1080 0.1080
0.06662 0.1104 0.1104
0.06672 0.1074 0.1074
0.06682 0.1104 0.1104
0.06692 0.1068 0.1068
0.06702 0.1086 0.1086
0.06712 0.1086 0.1086
0.06722 0.1104 0.1104
0.06732 0.1074 0.1074
0.06742 0.1092 0.1092
0.06752 0.1080 0.1080
0.06762 0.1080 0.1080
0.06772 0.1074 0.1074
0.06782 0.1092 0.1092
0.06792 0.1092 0.1092
0.06802 0.1098 0.1098
0.06812 0.1068 0.1068
0.06822 0.1110 0.1110
0.06832 0.1104 0.1104
0.06842 0.1086 0.1086
0.06852 0.1092 0.1092
0.06862 0.1098 0.1098
0.06872 0.1122 0.1122
0.06882 0.1134 0.1134
0.06892 0.1128 0.1128
0.06902 0.1122 0.1122
0.06912 0.1110 0.1110
0.06922 0.1110 0.1110
0.06932 0.1092 0.1092
0.06942 0.1086 0.1086
0.06952 0.1086 0.1086
0.06962 0.1074 0.1074
0.06972 0.1110 0.1110
0.06982 0.1104 0.1104
0.06992 0.1146 0.1146
0.07002 0.1128 0.1128
0.07012 0.1092 0.1092
0.07022 0.1128 0.1128
0.07032 0.1140 0.1140
0.07042 0.1134 0.1134
0.07052 0.1134 0.1134
0.07062 0.1110 0.1110
0.07072 0.1098 0.1098
0.07082 0.1104 0.1104
0.07092 0.1104 0.1104
0.07102 0.1092 0.1092
0.07112 0.1122 0.1122
0.07122 0.1110 0.1110
0.07132 0.1098 0.1098
0.07142 0.1098 0.1098
0.07152 0.1134 0.1134
0.07162 0.1110 0.1110
0.07172 0.1098 0.1098
0.07182 0.1152 0.1152
0.07192 0.1092 0.1092
0.07202 0.1104 0.1104
0.07212 0.1128 0.1128
0.07222 0.1140 0.1140
0.07232 0.1128 0.1128
0.07242 0.1116 0.1116
0.07252 0.1158 0.1158
0.07262 0.1164 0.1164
0.07272 0.1176 0.1176
0.07282 0.1140 0.1140
0.07292 0.1164 0.1164
0.07302 0.1122 0.1122
0.07312 0.1128 0.1128
0.07322 0.1164 0.1164
0.07332 0.1170 0.1170
0.07342 0.1176 0.1176
0.07352 0.1158 0.1158
0.07362 0.1158 0.1158
0.07372 0.1176 0.1176
0.07382 0.1140 0.1140
0.07392 0.1176 0.1176
0.07402 0.1158 0.1158
0.07412 0.1170 0.1170
0.07422 0.1181 0.1181
0.07432 0.1176 0.1176
0.07442 0.1158 0.1158
0.07452 0.1176 0.1176
0.07462 0.1176 0.1176
0.07472 0.1176 0.1176
0.07482 0.1176 0.1176
0.07492 0.1170 0.1170
0.07501 0.1164 0.1164
0.07511 0.1176 0.1176
0.07521 0.1181 0.1181
0.07531 0.1176 0.1176
0.07541 0.1181 0.1181
0.07551 0.1176 0.1176
0.07561 0.1176 0.1176
0.07571 0.1158 0.1158
0.07581 0.1193 0.1193
0.07591 0.1176 0.1176
0.07601 0.1158 0.1158
0.07611 0.1152 0.1152
0.07621 0.1181 0.1181
0.07631 0.1176 0.1176
0.07641 0.1164 0.1164
0.07651 0.1176 0.1176
0.07661 0.1176 0.1176
0.07671 0.1176 0.1176
0.07681 0.1176 0.1176
0.07691 0.1158 0.1158
0.07701 0.1193 0.1193
0.07711 0.1176 0.1176
0.07721 0.1176 0.1176
0.07731 0.1164 0.1164
0.07741 0.1188 0.1188
0.07751 0.1170 0.1170
0.07761 0.1170 0.1170
0.07771 0.1164 0.1164
0.07781 0.1193 0.1193
0.07791 0.1158 0.1158
0.07801 0.1176 0.1176
0.07811 0.1158 0.1158
0.07821 0.1152 0.1152
0.07831 0.1158 0.1158
0.07841 0.1170 0.1170
0.07851 0.1187 0.1187
0.07861 0.1211 0.1211
0.07871 0.1199 0.1199
0.07881 0.1199 0.1199
0.07891 0.1199 0.1199
0.07901 0.1205 0.1205
0.07911 0.1164 0.1164
0.07921 0.1193 0.1193
0.07931 0.1182 0.1182
0.07941 0.1199 0.1199
0.07951 0.1187 0.1187
0.07961 0.1176 0.1176
0.07971 0.1187 0.1187
0.07981 0.1158 0.1158
0.07991 0.1187 0.1187
0.08001 0.1164 0.1164
0.08011 0.1193 0.1193
0.08021 0.1176 0.1176
0.08031 0.1199 0.1199
0.08041 0.1199 0.1199
0.08051 0.1176 0.1176
0.08061 0.1193 0.1193
0.08071 0.1158 0.1158
0.08081 0.1176 0.1176
0.08091 0.1193 0.1193
0.08101 0.1199 0.1199
0.08111 0.1181 0.1181
0.08121 0.1176 0.1176
0.08131 0.1181 0.1181
0.08141 0.1170 0.1170
0.08151 0.1182 0.1182
0.08161 0.1187 0.1187
0.08171 0.1170 0.1170
0.08181 0.1193 0.1193
0.08191 0.1229 0.1229
0.08201 0.1223 0.1223
0.08211 0.1217 0.1217
0.08221 0.1182 0.1182
0.08231 0.1199 0.1199
0.08241 0.1170 0.1170
0.08251 0.1176 0.1176
0.08261 0.1187 0.1187
0.08271 0.1170 0.1170
0.08281 0.1217 0.1217
0.08291 0.1217 0.1217
0.08301 0.1235 0.1235
0.08311 0.1223 0.1223
0.08321 0.1223 0.1223
0.08331 0.1217 0.1217
0.08341 0.1217 0.1217
0.08351 0.1217 0.1217
0.08361 0.1229 0.1229
0.08371 0.1223 0.1223
0.08381 0.1217 0.1217
0.08390 0.1241 0.1241
0.08400 0.1217 0.1217
