method,stage,stage_order,x,n_species,n_species_with_pu,mean_persist,median_persist,q10_persist,q90_persist,min_persist,max_persist,frac_gt_05,total_pu_area_km2
rank,6,6,28.2220994609865,182,182,0.8907679869734,0.999999974669681,0.458022906591328,1,0,1,0.895604395604396,7555694.36335565
rank,7,7,32.9130272076623,182,182,0.890332114998651,0.999999989828186,0.458022906591328,1,0,1,0.895604395604396,7358742.98514565
rank,8,8,37.603063945369,182,182,0.890111255367453,0.99999999212551,0.458022906591328,1,0,1,0.895604395604396,7122425.14687986
rank,9,9,42.294366853716,182,182,0.889906507930363,0.999999993520525,0.458022906591328,1,0,1,0.895604395604396,6856802.39748425
rank,10,10,46.984731857885,182,182,0.889429514097114,0.999999990067928,0.458022906591328,1,0,1,0.895604395604396,6555473.5025244
rank,11,11,51.6772071464547,182,182,0.88897378574209,0.999999992079731,0.458022906591328,1,0,1,0.895604395604396,6184001.54568192
rank,12,12,56.3696355398155,182,182,0.888033259419454,0.999999994497932,0.458022906591328,1,0,1,0.895604395604396,5780338.83714802
rank,13,13,61.0801185886043,182,182,0.886175691554999,0.999999998508242,0.442451912268591,1,0,1,0.89010989010989,5321455.9330371
rank,14,14,65.7855369548315,182,182,0.884439671057555,0.999999997737346,0.442451912268591,1,0,1,0.89010989010989,4804698.43034081
rank,15,15,70.4793253092505,182,182,0.882220583155787,0.999999990473734,0.442451912268591,1,0,1,0.89010989010989,4252702.88369025
rank,16,16,75.1702061607174,182,182,0.875578197424198,0.999999977499651,0.442442035288934,1,0,1,0.879120879120879,3664519.11106895
rank,17,17,79.8661985899549,182,181,0.867018529106336,0.999999967128218,0.155745297601409,1,0,1,0.879120879120879,3003007.89819987
rank,18,18,84.5572201270485,182,180,0.859859671844647,0.999999997127069,0.154875285234296,1,0,1,0.868131868131868,2332590.87803146
rank,19,19,89.261981960351,182,180,0.849258449208542,0.999999748918441,0.139034717994246,1,0,1,0.857142857142857,1641374.62446007
rank,20,20,93.953331763907,182,179,0.816000979013122,0.999939360876931,0.121814307123455,1,0,1,0.807692307692308,913074.949956496
rank,21,21,98.6595004534767,182,175,0.5966955925291,0.750463190915987,2.8459546053128e-09,0.999999691574998,0,0.999999999999999,0.615384615384615,182779.724668565
rank,22,22,99.7962403173118,182,145,0.145844780399547,0.000738979513964344,0,0.600975242366358,0,0.920709177166136,0.142857142857143,21750.8206592126
