"number" "dsum" "count" "missing" "quant_error" "fname"
87 705335. 705335 12454423 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Indri_indri.tif"
88 325327. 325327 12834431 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lemur_catta.tif"
89 1.7815e+06 1781499 11378259 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepidopygia_nana.tif"
90 3912.0 3912 13155846 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_ankaranensis.tif"
91 113495. 113495 13046263 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_edwardsi.tif"
92 258393. 258393 12901365 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_leucopus.tif"
93 53237.0 53237 13106521 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_microdon.tif"
94 1.02786e+06 1027860 12131898 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_mustelinus.tif"
95 214180. 214180 12945578 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lepilemur_ruficaudatus.tif"
96 1.50626e+06 1506262 11653496 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Leptopterus_chabert.tif"
97 921097. 921097 12238661 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Lophotibis_cristata.tif"
98 92007.0 92007 13067751 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Macrotarsomys_bastardi.tif"
99 1.21486e+06 1214864 11944894 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Margaroperdix_madagarensis.tif"
100 374255. 374255 12785503 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Mentocrex_kioloides.tif"
101 981.0 981 13158777 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Mesitornis_unicolor.tif"
102 31852.0 31852 13127906 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Mesitornis_variegatus.tif"
103 199.0 199 13159559 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microcebus_berthae.tif"
104 5782.0 5782 13153976 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microcebus_griseorufus.tif"
105 1.10114e+06 1101143 12058615 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microcebus_murinus.tif"
106 12424.0 12424 13147334 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microcebus_myoxinus.tif"
107 2704.0 2704 13157054 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microcebus_ravelobensis.tif"
108 799124. 799124 12360634 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microcebus_rufus.tif"
109 8385.0 8385 13151373 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microcebus_tavaratra.tif"
110 360340. 360340 12799418 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_brevicaudata.tif"
111 683608. 683608 12476150 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_cowani.tif"
112 297990. 297990 12861768 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_drouhardi.tif"
113 15197.0 15197 13144561 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_dryas.tif"
114 347644. 347644 12812114 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_fotsifotsy.tif"
115 107064. 107064 13052694 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_gracilis.tif"
116 219162. 219162 12940596 0.0 "C:\Users\conco\persistence_prioritization\Data\Clean\Patches_binary\Microgale_gymnorhyncha.tif"
