removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1781,18,prune,57,1000,89.1423333173358,1760108,157627.083074213,0.82540632353755,0.823766205026134,372306,33722.2125298865
1782,18,prune,58,1000,90.293374282283,1761108,157717.376448495,0.82587527562659,0.824238082249393,371306,33631.9191556043
1783,18,prune,59,1000,90.027161829406,1762108,157807.403610324,0.826344227715631,0.824708568234435,370306,33541.8919937749
1784,18,prune,60,1000,89.8969090687705,1763108,157897.300519393,0.826813179804672,0.825178373512709,369306,33451.9950847061
1785,18,prune,61,1000,89.7916245575411,1764108,157987.092143951,0.827282131893713,0.825647628569405,368306,33362.2034601485
1786,18,prune,62,1000,89.7670946022142,1765108,158076.859238553,0.827751083982754,0.826116755431455,367306,33272.4363655463
1787,18,prune,63,1000,89.7611314037282,1766108,158166.620369957,0.828220036071795,0.826585851129562,366306,33182.6752341426
1788,18,prune,64,1000,89.7212416282463,1767108,158256.341611585,0.828688988160836,0.827054738361914,365306,33092.9539925143
1789,18,prune,65,1000,89.6985249664799,1768108,158346.040136551,0.829157940249876,0.827523506875973,364306,33003.2554675479
1790,18,prune,66,1000,89.640651644868,1769108,158435.680788196,0.829626892338917,0.827991972941457,363306,32913.614815903
1791,18,prune,67,1000,89.6353830267593,1770108,158525.316171223,0.830095844427958,0.828460411472907,362306,32823.9794328763
1792,18,prune,68,1000,89.6800420826438,1771108,158614.996213306,0.830564796516999,0.828929083394586,361306,32734.2993907936
1793,18,prune,69,1000,89.6347912593889,1772108,158704.631004565,0.83103374860604,0.829397518833433,360306,32644.6645995342
1794,18,prune,70,1000,89.6158745513144,1773108,158794.246879116,0.831502700695081,0.829865855412715,359306,32555.0487249829
1795,18,prune,71,1000,89.6464360710144,1774108,158883.893315187,0.831971652784122,0.83033435170787,358306,32465.4022889119
1796,18,prune,72,1000,89.6474897616594,1775108,158973.540804949,0.832440604873163,0.83080285350966,357306,32375.7547991502
1797,18,prune,73,1000,89.692886502187,1776108,159063.233691451,0.832909556962203,0.831271592556851,356306,32286.061912648
1798,18,prune,74,1000,89.7080650999831,1777108,159152.941756551,0.833378509051244,0.831740410928075,355306,32196.353847548
1799,18,prune,75,1000,89.7206144145453,1778108,159242.662370966,0.833847461140285,0.83220929488258,354306,32106.6332331335
1800,18,prune,76,1000,89.6747324452084,1779108,159332.337103411,0.834316413229326,0.832677939055855,353306,32016.9585006883
1801,18,prune,77,1000,89.7300378803144,1780108,159422.067141291,0.834785365318367,0.833146872257814,352306,31927.228462808
1802,18,prune,78,1000,89.7247708275672,1781108,159511.791912119,0.835254317407408,0.83361577793392,351306,31837.5036919804
1803,18,prune,79,1000,89.6289172501267,1782108,159601.420829369,0.835723269496449,0.834084182674931,350306,31747.8747747303
1804,18,prune,80,1000,89.5254998296015,1783108,159690.946329198,0.83619222158549,0.834552046951865,349306,31658.3492749007
1805,18,prune,81,1000,89.4805551657006,1784108,159780.426884364,0.83666117367453,0.83501967634597,348306,31568.868719735
1806,18,prune,82,1000,89.3736417528312,1785108,159869.800526117,0.837130125763571,0.835486747005784,347306,31479.4950779822
1807,18,prune,83,1000,89.3844167599039,1786108,159959.184942877,0.837599077852612,0.835953873976269,346306,31390.1106612223
1808,18,prune,84,1000,89.4723555937217,1787108,160048.657298471,0.838068029941653,0.836421460519043,345306,31300.6383056285
1809,18,prune,85,1000,89.6467007418397,1788108,160138.303999212,0.838536982030694,0.836889958197379,344306,31210.9916048867
1810,18,prune,86,1000,89.6419958009803,1789108,160227.945995013,0.839005934119735,0.837358431287484,343306,31121.3496090857
1811,18,prune,87,1000,89.7354101590019,1790108,160317.681405172,0.839474886208776,0.837827392565212,342306,31031.6141989267
1812,18,prune,88,1000,89.8410610175513,1791108,160407.52246619,0.839943838297817,0.838296905979066,341306,30941.7731379092
1813,18,prune,89,1000,89.8862431554612,1792108,160497.408709345,0.840412790386857,0.838766655516798,340306,30851.8868947537
