stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end,keep_n,actual_cells_retained,actual_area_retained_km2,target_cells_retained,target_area_retained_km2,area_match_error_km2,abs_area_match_error_km2,rank_cutoff
10,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0010.csv,1015,1130505,1001909,101798.701281092,89550.5943230076,100018,8962.17738433163,101,0.46984731857885,0.467995421881706,46.984731857885,46.7995421881706,1130505,1130505,101653.166824894,1130505,101798.701281092,-145.534456198497,145.534456198497,0.469847321510315
11,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0011.csv,1117,1030442,1101972,92901.6083111003,98447.6872929988,100063,8897.09296999122,102,0.516772071464547,0.514492028738306,51.6772071464547,51.4492028738306,1030442,1030442,92641.0310958405,1030442,92901.6083111003,-260.577215259807,260.577215259807,0.516772091388702
12,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0012.csv,1218,930380,1202034,83843.6762429373,107505.619361162,100062,9057.93206816306,101,0.563696355398155,0.561829187934878,56.3696355398155,56.1829187934878,930380,930380,83649.6907612002,930380,83843.6762429373,-193.98548173708,193.98548173708,0.563696384429932
13,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0013.csv,1319,829933,1302481,74781.1715251555,116568.124078944,100447,9062.50471778175,101,0.610801185886043,0.60919024400342,61.0801185886043,60.919024400342,829933,829933,74649.8525222486,829933,74781.1715251555,-131.319002906937,131.319002906937,0.610801160335541
14,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0014.csv,1420,729594,1402820,65822.6752952006,125526.620308899,100339,8958.49622995489,101,0.657855369548315,0.656007747050256,65.7855369548315,65.6007747050256,729594,729594,65651.8395286013,729594,65822.6752952006,-170.83576659931,170.83576659931,0.65785539150238
15,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0015.csv,1522,629503,1502911,56811.1817170087,134538.11388709,100091,9011.49357819196,102,0.704793253092505,0.703102216615677,70.4793253092505,70.3102216615677,629503,629503,56651.3714783948,629503,56811.1817170087,-159.810238613863,159.810238613863,0.704793274402618
16,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0016.csv,1623,529474,1602940,47781.9911933684,143567.304410731,100029,9029.19052364025,101,0.751702061607174,0.75028917121164,75.1702061607174,75.028917121164,529474,529474,47616.3143267161,529474,47781.9911933684,-165.676866652262,165.676866652262,0.751702070236206
17,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0017.csv,1724,429336,1703078,38859.7668188178,152489.528785281,100138,8922.22437455058,101,0.798661985899549,0.796917115915501,79.8661985899549,79.6917115915501,429336,429336,38619.1082100708,429336,38859.7668188178,-240.658608747042,240.658608747042,0.798662006855011
18,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0018.csv,1825,329304,1803110,29862.7277489441,161486.567855155,100032,8997.0390698737,101,0.845572201270485,0.843936045572229,84.5572201270485,84.3936045572229,329304,329304,29652.358480894,329304,29862.7277489441,-210.369268050094,210.369268050094,0.845572173595429
19,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0019.csv,1926,228979,1903435,20800.6365822783,170548.659021821,100325,9062.09116666585,101,0.89261981960351,0.891294940404094,89.261981960351,89.1294940404094,228979,228979,20619.882420201,228979,20800.6365822783,-180.754162077305,180.754162077305,0.892619848251343
20,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0020.csv,2027,128940,2003474,11666.4244270574,179682.871177042,100039,9134.21215522084,101,0.93953331763907,0.939030742756455,93.953331763907,93.9030742756455,128940,128940,11614.728021918,128940,11666.4244270574,-51.6964051393934,51.6964051393934,0.939533293247223
21,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0021.csv,2129,28585,2103829,2587.88966271689,188761.405941382,100355,9078.53476434052,102,0.986595004534767,0.98647557256719,98.6595004534767,98.647557256719,28585,28585,2574.1252476264,28585,2587.88966271689,-13.764415090493,13.764415090493,0.986594974994659
22,Data/Results/PriorityRuns/curve_q025_taxa_mammals_birds_sdm_ppm_rangebag_remove_1000_k_100/patch_lookup_tables/stage_patch_lookup_stage_0022.csv,2154,4345,2128069,397.760679234547,190951.534924865,24240,2190.12898348234,25,0.997962403173118,0.997921284852506,99.7962403173118,99.7921284852506,4345,4345,391.067660149335,4345,397.760679234547,-6.69301908521157,6.69301908521157,0.997962415218353
